,Id,Rating,Genre,Director,Runtime
0,1,Restricted,Action and Adventure,William Friedkin,104
0,1,Restricted,Classics,William Friedkin,104
0,1,Restricted,Drama,William Friedkin,104
1,3,Restricted,Drama,David Cronenberg,108
1,3,Restricted,Science Fiction and Fantasy,David Cronenberg,108
2,5,Restricted,Drama,Allison Anders,116
2,5,Restricted,Musical and Performing Arts,Allison Anders,116
3,6,Restricted,Drama,Barry Levinson,128
3,6,Restricted,Mystery and Suspense,Barry Levinson,128
4,7,Not Rated,Drama,Rodney Bennett,200
4,7,Not Rated,Romance,Rodney Bennett,200
5,8,Parental Guidance Suggested,Drama,Jay Russell,95
5,8,Parental Guidance Suggested,Kids and Family,Jay Russell,95
6,10,Parents Strongly Cautioned,Comedy,Jake Kasdan,82
7,13,Restricted,Drama,Ray Lawrence,123
8,14,Restricted,Drama,Taylor Hackford,117
9,15,Parents Strongly Cautioned,Action and Adventure,Frank Marshall,108
9,15,Parents Strongly Cautioned,Mystery and Suspense,Frank Marshall,108
9,15,Parents Strongly Cautioned,Science Fiction and Fantasy,Frank Marshall,108
12,19,Not Rated,Documentary,Unknown,90
12,19,Not Rated,Special Interest,Unknown,90
13,20,Parents Strongly Cautioned,Classics,William Friedkin,97
13,20,Parents Strongly Cautioned,Comedy,William Friedkin,97
13,20,Parents Strongly Cautioned,Drama,William Friedkin,97
14,21,Restricted,Comedy,Peter Baldwin,106
15,22,Restricted,Comedy,George Hickenlooper,108
15,22,Restricted,Drama,George Hickenlooper,108
15,22,Restricted,Mystery and Suspense,George Hickenlooper,108
16,23,Restricted,Drama,Unknown,129
17,24,Parental Guidance Suggested,Action and Adventure,Rick Rosenthal,98
17,24,Parental Guidance Suggested,Comedy,Rick Rosenthal,98
17,24,Parental Guidance Suggested,Drama,Rick Rosenthal,98
18,25,Parents Strongly Cautioned,Action and Adventure,Carl Erik Rinsch,127
18,25,Parents Strongly Cautioned,Drama,Carl Erik Rinsch,127
18,25,Parents Strongly Cautioned,Science Fiction and Fantasy,Carl Erik Rinsch,127
19,26,Restricted,Art House and International,Jim Jarmusch,96
19,26,Restricted,Comedy,Jim Jarmusch,96
19,26,Restricted,Drama,Jim Jarmusch,96
19,26,Restricted,Musical and Performing Arts,Jim Jarmusch,96
21,28,General Audience,Classics,Unknown,90
21,28,General Audience,Comedy,Unknown,90
21,28,General Audience,Musical and Performing Arts,Unknown,90
21,28,General Audience,Romance,Unknown,90
22,29,Parental Guidance Suggested,Action and Adventure,Martyn Burke,101
22,29,Parental Guidance Suggested,Drama,Martyn Burke,101
22,29,Parental Guidance Suggested,Science Fiction and Fantasy,Martyn Burke,101
23,33,Restricted,Action and Adventure,Keith Gordon,114
23,33,Restricted,Drama,Keith Gordon,114
23,33,Restricted,Mystery and Suspense,Keith Gordon,114
24,34,Parents Strongly Cautioned,Action and Adventure,John Woo,123
